0,1
0.0952,1
0.1904,1
0.2856,1
0.3808,1
0.476,1
0.5712,1
0.6664,1
0.7616,1
0.8568,1
0.952,1
1.0472,1
1.1424,1
1.2376,1
1.3328,1
1.428,1
1.5232,1
1.6184,1
1.7136,1
1.8088,1
1.904,1
1.9992,1
2.0944,1
2.1896,1
2.2848,1
2.38,1
2.4752,1
2.5704,1
2.6656,1
2.7608,1
2.856,1
2.9512,1
3.0464,1
3.1416,-1
3.2368,-1
3.332,-1
3.4272,-1
3.5224,-1
3.6176,-1
3.7128,-1
3.808,-1
3.9032,-1
3.9984,-1
4.0936,-1
4.1888,-1
4.284,-1
4.3792,-1
4.4744,-1
4.5696,-1
4.6648,-1
4.76,-1
4.8552,-1
4.9504,-1
5.0456,-1
5.1408,-1
5.236,-1
5.3312,-1
5.4264,-1
5.5216,-1
5.6168,-1
5.712,-1
5.8072,-1
5.9024,-1
5.9976,-1
6.0928,-1
6.188,-1
6.2832,1
6.3784,1
6.4736,1
6.5688,1
6.664,1
6.7592,1
6.8544,1
6.9496,1
7.0448,1
7.14,1
7.2352,1
7.3304,1
7.4256,1
7.5208,1
7.616,1
7.7112,1
7.8064,1
7.9016,1
7.9968,1
8.092,1
8.1872,1
8.2824,1
8.3776,1
8.4728,1
8.568,1
8.6632,1
8.7584,1
8.8536,1
8.9488,1
9.044,1
9.1392,1
9.2344,1
9.3296,1
9.4248,-1
